objectid,filename,document type,title,claim name,claim number,claim type,creator,date,description,subject,location,county,district,township,range,section,latitude,longitude,source,identifier,type,format,language,associated name,,
ajax004,Correspondence_Ajax_Mine_Thomson_Francis_Sahinen_U_M_01_20_1936.pdf,Correspondence,Geology of Beaverhead County and Ajax Mine,Ajax,,Placer,J.H. Jensen,1/20/1936,Geology of Beaverhead County and Ajax Mine,Correspondence; Ajax Mine; ,Beaverhead,Beaverhead,Ajax,6S,17W,7,45.52333,-113.72389,,,Image;StillImage,application/pdf,eng,Compiled From Mcnabb; USBM; Nickelson; USGS Report 6-23-53; R.N.Appling Map 8-23-78,,
ajax005,Correspondence_Ajax_Mine_Vandelinder_George_Montana_College_Technology_Mineral_10_08_1969.pdf,Correspondence,Ajax Mine Information for Library,Ajax,,Placer,Mrs. George VanDelinder,10/8/1969,Ajax mine information for library,Correspondence; Ajax Mine; ,Beaverhead,Beaverhead,Ajax,6S,17W,7,45.52333,-113.72389,,,Image;StillImage,application/pdf,eng,Compiled From Mcnabb; USBM; Nickelson; USGS Report 6-23-53; R.N.Appling Map 8-23-79,,
cottontail_mine001,Cottontail_Mine.jpg,Folder Contents,Cottontail Mine Folder Contents,Cottontail Mine,,Lode,,,Folder Contents,Contents;Cottontail Mine,Beaverhead,Beaverhead,Blue Wing,9S,11W,22,45.0444,-112.9456,,,Image;StillImage,image/jpeg,eng,"A/K/A Blue Wing; Around Kent, Huron, Blue Wing",,
cowan_bar_placer001,Cowan_Bar_Placer.jpg,Folder Contents,Cowan Bar Placer Folder Contents,Cowan Bar Placer,,Placer,,,Folder Contents,Contents;Cowan Bar Placer,Beaverhead,Beaverhead,Grasshopper,8S,10W,29,45.1094,-112.8542,,,Image;StillImage,image/jpeg,eng,Grasshopper Creek,,
crescent001,Crescent.jpg,Folder Contents,Crescent Folder Contents,Crescent,,Lode,,,Folder Contents,Contents;Crescent,Beaverhead,Beaverhead,Unorganized,9S,8W,1,45.08003,-112.52877,,,Image;StillImage,image/jpeg,eng,Crescent,,
crown_smith_dillon001,Crown_Smith_Dillon.jpg,Folder Contents,Crown Smith Dillon Folder Contents,Crown Smith Dillon,,Lode,,,Folder Contents,Contents;Crown Smith Dillon,Beaverhead,Beaverhead,Axes Creek,8S,8W,23,45.12332,-112.54883,,,Image;StillImage,image/jpeg,eng,Axes Canyon Prospect,,
crystal_graphite001,Crystal_Graphite.jpg,Folder Contents,Crystal Graphite Folder Contents,Crystal Graphite,,Lode,,,Folder Contents,Contents;Crystal Graphite,Beaverhead,Beaverhead,Ruby,8S,7W,30,45.1039,-112.5067,,,Image;StillImage,image/jpeg,eng,"Around Groundhog, Eureka, Last Chance, Homestake, Birds Nest, Mayflower, Faithful, Gopher, Lucky Boy, Badger, Sage, Antelope",,
daisy_may001,Daisy_May.jpg,Folder Contents,Daisy May Folder Contents,Daisy May,,Lode,,,Folder Contents,Contents;Daisy May,Beaverhead,Beaverhead,,1S,11W,25,45.72193,-112.90733,,,Image;StillImage,image/jpeg,eng,Daisy Vein,,
dakota001,Dakota.jpg,Folder Contents,Dakota Folder Contents,Dakota,,Lode,,,Folder Contents,Contents;Dakota,Beaverhead,Beaverhead,Bannack,8S,11W,5,45.16633,-112.97739,,,Image;StillImage,image/jpeg,eng,"Around Gold Bug, Blue Grass",,
dalys_spur001,Dalys_Spur.jpg,Folder Contents,Dalys Spur Folder Contents,Dalys Spur,,Lode,,,Folder Contents,Contents;Dalys Spur,Beaverhead,Beaverhead,Dillon,9S,10W,1,45.0851988,-112.7800242,,,Image;StillImage,image/jpeg,eng,,,
dark_horse001,Dark_Horse.jpg,Folder Contents,Dark Horse Folder Contents,Dark Horse,,Lode,,,Folder Contents,Contents;Dark Horse,Beaverhead,Beaverhead,Beaverhead,8S,16W,5,45.1678,-113.5875,,,Image;StillImage,image/jpeg,eng,"Around Alta B., Roy B., Copperstone.  Bloody Dick Dist. Dark Horse Dist.",,
davis_mine001,Davis_Mine.jpg,Folder Contents,Davis Mine Folder Contents,Davis Mine,,Lode,,,Folder Contents,Contents;Davis Mine,Beaverhead,Beaverhead,Chinatown,11S,13W,9,44.89222,-113.19445,,,Image;StillImage,image/jpeg,eng,,,
